Namespace(dict='data/CBTest/data/cbtest_NE_train.txtdict.pt', model='models/gru/model2_epoch8_acc_70.25.pt', out='models/gru/model2_epoch8_acc_70.25.ptresult.txt', testdata='data/CBTest/data/cbtest_NE_test_2500ex.txt.pt')
Loading dict data/CBTest/data/cbtest_NE_train.txtdict.pt
Loading test data
Loading model from  models/gru/model2_epoch8_acc_70.25.pt
 * vocabulary size = 15683
 * number of test samples. 2500
 * maximum batch size. 64
Building model...
Evaluate on test data
400 : 80 : 0
388 : 50 : 1
580 : 34 : 1
585 : 39 : 1
408 : 59 : 1
496 : 27 : 0
437 : 46 : 1
443 : 16 : 1
453 : 47 : 1
467 : 34 : 0
309 : 17 : 0
285 : 33 : 1
392 : 27 : 1
206 : 25 : 1
364 : 23 : 0
263 : 80 : 1
357 : 24 : 1
319 : 34 : 0
423 : 13 : 0
357 : 16 : 0
628 : 63 : 0
324 : 42 : 1
555 : 50 : 1
315 : 5 : 1
407 : 19 : 1
411 : 21 : 1
562 : 135 : 1
371 : 13 : 1
620 : 22 : 1
261 : 17 : 1
494 : 27 : 1
189 : 23 : 1
339 : 22 : 0
287 : 4 : 0
603 : 13 : 0
389 : 15 : 1
417 : 72 : 0
508 : 28 : 1
355 : 30 : 1
530 : 20 : 1
395 : 25 : 1
299 : 37 : 0
273 : 26 : 0
635 : 27 : 0
539 : 6 : 0
462 : 26 : 1
292 : 40 : 1
360 : 16 : 1
444 : 25 : 1
511 : 10 : 0
345 : 21 : 1
419 : 43 : 1
647 : 45 : 0
213 : 13 : 1
561 : 29 : 1
335 : 5 : 0
493 : 49 : 1
624 : 46 : 1
643 : 10 : 1
402 : 30 : 0
456 : 32 : 1
264 : 9 : 0
388 : 24 : 1
418 : 29 : 1
207 : 4 : 1
260 : 19 : 1
650 : 23 : 0
366 : 13 : 0
335 : 19 : 1
298 : 71 : 1
463 : 20 : 1
415 : 12 : 0
653 : 15 : 1
371 : 39 : 1
306 : 22 : 1
221 : 10 : 1
311 : 10 : 1
597 : 52 : 1
713 : 47 : 1
622 : 29 : 1
346 : 23 : 1
209 : 23 : 1
361 : 15 : 1
532 : 15 : 1
574 : 46 : 0
459 : 6 : 0
191 : 25 : 1
215 : 14 : 1
344 : 24 : 0
292 : 12 : 1
453 : 41 : 1
477 : 18 : 1
401 : 13 : 1
360 : 44 : 1
305 : 6 : 0
396 : 17 : 0
609 : 31 : 1
392 : 14 : 0
438 : 7 : 1
264 : 8 : 0
659 : 24 : 0
474 : 28 : 0
252 : 24 : 0
424 : 15 : 0
345 : 42 : 1
590 : 49 : 0
526 : 46 : 0
422 : 6 : 1
824 : 23 : 0
482 : 26 : 1
266 : 5 : 1
353 : 17 : 1
492 : 56 : 0
536 : 44 : 1
266 : 28 : 0
253 : 18 : 0
578 : 51 : 0
500 : 50 : 1
359 : 10 : 1
293 : 23 : 1
377 : 23 : 0
384 : 15 : 1
528 : 33 : 1
623 : 44 : 1
385 : 34 : 1
559 : 54 : 0
363 : 16 : 1
350 : 60 : 1
279 : 31 : 1
344 : 19 : 1
693 : 16 : 1
323 : 13 : 0
761 : 25 : 1
384 : 24 : 0
585 : 26 : 1
598 : 32 : 1
431 : 19 : 1
469 : 18 : 0
336 : 24 : 1
287 : 7 : 1
273 : 18 : 1
475 : 53 : 1
361 : 4 : 1
275 : 35 : 1
388 : 35 : 1
500 : 33 : 1
426 : 17 : 1
272 : 35 : 1
313 : 16 : 1
244 : 34 : 1
233 : 4 : 0
544 : 20 : 1
318 : 33 : 1
378 : 62 : 0
496 : 13 : 0
417 : 21 : 1
478 : 6 : 1
366 : 34 : 1
544 : 72 : 1
433 : 40 : 1
594 : 36 : 1
493 : 19 : 1
396 : 87 : 1
523 : 48 : 1
141 : 4 : 1
528 : 27 : 0
562 : 35 : 1
301 : 6 : 1
298 : 9 : 1
650 : 23 : 0
209 : 11 : 0
667 : 29 : 1
299 : 13 : 0
376 : 9 : 1
371 : 54 : 1
234 : 3 : 1
490 : 26 : 1
308 : 8 : 1
301 : 11 : 0
238 : 4 : 1
298 : 27 : 0
319 : 9 : 0
355 : 6 : 1
568 : 33 : 0
213 : 14 : 0
576 : 58 : 1
711 : 22 : 1
219 : 14 : 0
336 : 71 : 0
329 : 32 : 1
457 : 18 : 1
470 : 12 : 0
551 : 58 : 1
415 : 18 : 1
317 : 19 : 1
557 : 49 : 1
317 : 27 : 1
548 : 40 : 1
339 : 4 : 1
358 : 5 : 1
282 : 26 : 1
597 : 22 : 1
264 : 32 : 1
403 : 22 : 0
360 : 19 : 1
513 : 23 : 1
388 : 46 : 0
662 : 3 : 1
359 : 23 : 1
484 : 7 : 1
